#FactTable
ID,D1,D2,Fact1,Fact2
2476,C,Y,69,751
2477,A,Y,66,985
2478,B,X,41,651
2479,B,Y,47,664
2480,C,X,61,771
2481,C,Z,51,608
2482,C,Z,77,359
2483,A,Z,68,477
2484,C,Y,85,700
2485,C,Z,56,805
2486,C,Z,15,376
2487,B,Y,76,45
2488,B,Y,73,813
2489,C,X,14,343
2490,B,X,99,965
2491,B,Z,36,329
2492,B,Y,7,903
2493,B,Z,73,591
2494,A,Y,79,149
2495,B,Y,97,441
2496,B,X,82,835
2497,B,Z,34,596
2498,B,Y,82,372
2499,A,Y,93,46
2500,A,Y,83,581
2501,C,Y,21,256
2502,B,Z,6,839
2503,B,Y,90,697
2504,C,Z,95,105
2505,A,Y,34,853
2506,C,X,99,569
2507,A,Y,47,674
2508,C,X,32,410
2509,C,X,14,641
2510,B,Y,80,906
2511,C,Y,58,91
2512,A,Y,69,982
2513,A,X,54,718
2514,C,Z,90,977
2515,A,Y,31,410
2516,C,Y,80,907
2517,B,Y,27,892
2518,B,X,79,956
2519,B,Y,62,832
2520,B,X,69,262
2521,C,X,95,139
2522,A,Y,24,925
2523,C,X,53,915
2524,A,X,33,108
2525,C,X,59,703
2526,A,Y,91,662
2527,A,Z,72,827
2528,C,Z,77,688
2529,B,Y,49,357
2530,C,Z,13,592
2531,B,Y,98,451
2532,C,Z,82,890
2533,A,Y,47,458
2534,B,Y,9,58
2535,A,Y,52,916
2536,A,Y,70,105
2537,A,X,30,698
2538,C,X,84,488
2539,A,Y,81,307
2540,C,Z,12,751
2541,B,Y,22,670
2542,A,X,94,776
2543,B,Z,9,524
2544,B,Z,73,600
2545,C,X,54,375
2546,B,Y,72,73
2547,C,X,74,664
2548,C,Y,47,837
2549,B,X,9,385
2550,B,Y,38,283
2551,B,Y,82,502
2552,C,Y,1,341
2553,C,Z,94,705
2554,B,Z,44,338
2555,C,X,36,224
2556,B,X,90,949
2557,C,Z,24,710
2558,C,Z,59,776
2559,A,Y,32,998
2560,A,X,71,504
2561,B,Y,29,294
2562,A,X,69,21
2563,C,Y,53,621
2564,B,Z,76,362
2565,A,Z,82,85
2566,B,Y,2,159
2567,B,Z,72,400
2568,C,Y,55,935
2569,A,Y,41,157
2570,C,X,88,306
2571,B,Z,23,598
2572,B,X,25,495
2573,B,Z,55,986
2574,A,X,4,912
2575,C,Y,52,433
2576,C,X,59,100
2577,A,Y,56,269
2578,C,Y,56,633
2579,C,Y,97,24
2580,B,X,97,873
2581,B,Y,67,678
2582,B,Z,29,369
2583,A,X,76,204
2584,B,Z,75,466
2585,C,X,48,473
2586,A,Y,47,397
2587,C,X,56,504
2588,A,Y,84,427
2589,C,X,13,573
2590,A,Z,88,412
2591,C,Y,50,993
2592,B,Y,42,903
2593,A,Y,50,827
2594,C,Y,68,631
2595,C,Z,56,814
2596,C,Y,56,621
2597,C,Z,88,745
2598,B,Y,67,407
2599,B,Z,64,141
2600,A,X,86,342
2601,A,Y,3,385
2602,C,X,28,875
2603,A,Y,62,157
2604,C,Z,4,556
2605,A,Y,70,740
2606,A,X,67,450
2607,C,Z,79,658
2608,B,Z,16,376
2609,C,X,33,26
2610,B,X,13,400
2611,A,Z,49,718
2612,B,Z,61,120
2613,C,X,59,128
2614,A,Y,9,278
2615,B,X,72,3
2616,B,X,44,487
2617,C,Y,99,655
2618,A,Y,78,21
2619,A,Z,57,882
2620,B,Y,77,536
2621,B,X,54,35
2622,B,Z,38,615
2623,A,X,98,247
2624,B,Y,93,329
2625,B,X,77,791
2626,A,Y,56,8
2627,A,Z,34,821
2628,C,X,50,236
2629,A,Y,98,832
2630,A,Y,93,2
2631,C,Z,3,969
2632,A,X,31,413
2633,C,Y,48,988
2634,A,Z,5,227
2635,C,X,88,158
2636,B,X,15,955
2637,B,Y,37,223
2638,B,Z,69,906
2639,C,X,83,61
2640,B,X,84,849
2641,A,X,52,632
2642,C,Y,82,233
2643,A,Z,25,414
2644,A,Y,55,177
2645,A,Y,2,858
2646,C,Z,63,994
2647,A,X,54,322
2648,B,Y,33,930
2649,C,Y,67,979
2650,B,Y,38,285
2651,C,X,74,817
2652,A,Z,16,748
2653,B,Y,6,617
2654,C,X,7,566
2655,A,Z,29,851
2656,A,Z,36,327
2657,C,X,37,548
2658,C,X,62,874
2659,C,Z,73,394
2660,C,X,56,281
2661,B,Y,51,899
2662,C,Z,66,28
2663,A,Y,71,881
2664,B,Y,80,191
2665,A,Z,64,579
2666,A,Z,8,80
2667,C,Z,54,643
2668,B,Y,10,588
2669,C,Y,81,796
2670,A,Y,83,996
2671,C,X,12,112
2672,C,Z,86,879
2673,C,X,97,272
2674,C,X,18,37
2675,C,X,10,344
2676,C,X,18,910
2677,B,Z,9,307
2678,C,Z,44,330
2679,B,Z,28,60
2680,C,X,82,637
2681,B,Z,42,660
2682,A,X,66,599
2683,B,X,93,759
2684,B,Z,87,102
2685,A,Y,21,421
2686,C,Y,42,829
2687,C,X,18,656
2688,B,Y,10,938
2689,C,Y,32,188
2690,C,Y,33,95
2691,A,Y,32,526
2692,C,Y,12,581
2693,C,Y,32,579
2694,B,Y,16,279
2695,C,Z,57,471
2696,C,Y,84,972
2697,B,X,30,893
2698,B,Y,20,599
2699,B,Y,26,606
2700,C,X,44,421
2701,C,Z,86,99
2702,C,X,91,481
2703,C,X,65,609
2704,C,Y,82,921
2705,C,Z,1,825
2706,B,X,74,923
2707,B,Z,42,280
2708,C,X,15,105
2709,A,Y,44,375
2710,B,Y,73,757
2711,C,X,45,723
2712,B,Z,76,836
2713,A,X,46,985
2714,B,Z,84,339
2715,B,Z,22,630
2716,B,Z,13,26
2717,B,X,3,800
2718,C,X,3,441
2719,A,X,5,554
2720,C,Y,74,269
2721,B,X,45,563
2722,B,X,21,800
2723,B,Y,85,161
2724,A,Z,64,48
2725,A,Y,61,265
2726,C,Z,47,904
2727,B,X,86,106
2728,A,X,35,374
2729,B,Y,56,667
2730,C,X,89,591
2731,C,Y,39,223
2732,A,X,49,41
2733,C,Z,33,687
2734,A,X,39,651
2735,B,X,21,844
2736,A,X,20,127
2737,C,Y,15,969
2738,B,Y,66,944
2739,C,Y,27,402
2740,B,X,10,546
2741,B,X,77,36
2742,B,Y,57,639
2743,B,X,29,929
2744,C,Z,45,756
2745,A,Y,5,946
2746,B,Z,90,907
2747,C,X,33,847
2748,C,Z,65,645
2749,C,Z,3,631
2750,A,Y,55,961
2751,C,X,50,806
2752,C,Z,78,291
2753,A,X,35,54
2754,C,Z,48,597
2755,C,X,83,966
2756,A,X,37,639
2757,A,X,17,400
2758,A,X,57,526
2759,B,Z,54,711
2760,A,Y,36,621
2761,B,X,49,496
2762,B,Z,42,303
2763,A,Z,24,115
2764,B,Z,98,765
2765,C,Y,63,196
2766,C,Z,67,489
2767,A,Y,87,246
2768,B,Z,95,173
2769,C,Y,94,52
2770,B,X,9,782
2771,B,Y,83,782
2772,C,Y,99,392
2773,A,Y,17,475
2774,B,Y,57,691
2775,C,Z,98,865
2776,A,Y,23,871
2777,B,Z,32,795
2778,B,Y,52,333
2779,B,Z,92,816
2780,B,Y,5,112
2781,A,X,67,242
2782,B,X,90,702
2783,C,Y,27,408
2784,C,Y,86,3
2785,C,Y,25,436
2786,A,Y,70,980
2787,C,X,1,212
2788,B,Y,59,732
2789,B,X,62,138
2790,C,Z,3,421
2791,A,X,21,979
2792,A,Y,89,289
2793,B,Z,14,914
2794,B,X,41,390
2795,C,X,75,671
2796,A,Y,95,159
2797,C,Z,84,822
2798,B,X,75,770
2799,B,Z,20,123
2800,C,Y,55,445
2801,A,Y,60,74
2802,B,Y,64,483
2803,B,Y,28,653
2804,A,Y,35,698
2805,B,Z,34,695
2806,A,Z,13,639
2807,A,Z,91,201
2808,B,Y,36,39
2809,C,Z,78,56
2810,B,Y,35,575
2811,B,Z,49,987
2812,B,Y,98,317
2813,B,Z,73,396
2814,C,Z,57,818
2815,C,X,27,894
2816,C,X,29,453
2817,A,X,29,134
2818,C,Y,52,302
2819,A,Z,81,290
2820,B,Z,74,757
2821,C,X,41,857
2822,C,X,69,973
2823,C,X,6,862
2824,C,Z,70,193
2825,C,Z,20,220
2826,B,Z,67,70
2827,C,Z,99,430
2828,A,Y,33,851
2829,A,Z,84,691
2830,C,Y,55,35
2831,A,X,38,507
2832,C,X,49,64
2833,B,Z,69,530
2834,A,Y,5,910
2835,C,Y,51,86
2836,A,Y,74,486
2837,C,Z,72,971
2838,A,X,1,580
2839,B,Y,67,914
2840,A,Z,4,123
2841,A,Y,73,179
2842,A,X,7,228
2843,A,Y,31,589
2844,C,X,85,368
2845,B,Y,43,177
2846,B,X,51,451
2847,A,Z,91,658
2848,A,Z,43,541
2849,B,Y,38,273
2850,B,X,39,5
2851,B,Z,80,33
2852,B,Y,3,690
2853,A,Z,58,82
2854,B,X,22,968
2855,A,Y,45,19
2856,A,Z,49,313
2857,B,X,13,71
2858,C,Z,16,963
2859,A,Y,12,569
2860,B,Y,22,467
2861,A,Y,2,871
2862,C,Z,78,825
2863,B,Y,18,657
2864,A,Y,38,743
2865,C,X,38,152
2866,C,X,90,794
2867,A,Y,77,823
2868,B,Z,14,557
2869,B,Z,56,885
2870,A,Z,98,88
2871,C,X,4,340
2872,C,Y,49,685
2873,C,Z,49,928
2874,C,Z,37,95
2875,A,Y,38,962
2876,C,Z,35,98
2877,A,Z,38,25
2878,B,Y,11,983
2879,B,X,35,930
2880,C,X,94,724
2881,C,X,98,927
2882,C,Z,29,603
2883,B,X,47,547
2884,A,Z,30,981
2885,A,X,55,741
2886,A,X,95,82
2887,C,X,39,529
2888,A,Y,65,304
2889,C,Z,94,827
2890,B,Z,65,732
2891,A,Z,80,858
2892,C,Z,65,675
2893,A,X,16,228
2894,B,X,7,508
2895,A,X,7,871
2896,A,Y,9,391
2897,B,Z,33,31
2898,C,X,47,825
2899,C,Z,39,850
2900,C,Y,35,846
2901,A,X,1,305
2902,A,X,49,949
2903,C,Z,21,494
2904,C,Y,78,380
2905,A,Y,52,630
2906,C,Z,56,131
2907,C,X,88,27
2908,A,Z,13,637
2909,B,Y,27,952
2910,A,X,31,153
2911,C,Z,30,285
2912,C,Y,48,969
2913,B,Y,88,504
2914,B,Z,80,229
2915,A,X,46,205
2916,B,Z,8,38
2917,C,Z,57,896
2918,C,Y,21,966
2919,C,X,4,130
2920,C,X,96,234
2921,B,Z,59,809
2922,C,Y,1,339
2923,C,X,37,249
2924,C,X,8,171
2925,A,Z,28,342
2926,A,X,19,65
2927,C,Y,92,337
2928,B,Y,47,682
2929,B,Z,35,237
2930,A,X,83,40
2931,A,Z,1,224
2932,B,Y,94,614
2933,A,X,94,109
2934,A,Z,29,473
2935,C,X,16,116
2936,B,X,44,540
2937,C,Y,67,870
2938,A,Z,50,590
2939,A,X,72,669
2940,A,Z,7,59
2941,A,Z,69,994
2942,B,Z,26,962
2943,B,X,47,535
2944,B,Z,81,78
2945,B,Y,76,271
2946,C,Z,69,997
2947,C,Z,31,90
2948,C,X,25,417
2949,A,X,7,199
2950,B,X,55,274
2951,B,Y,56,40
2952,B,X,97,5
2953,C,X,88,629
2954,A,Y,84,155
2955,A,Y,39,95
2956,A,Z,39,137
2957,C,Z,59,143
2958,B,Z,69,185
2959,C,Z,77,91
2960,B,X,82,786
2961,A,X,63,981
2962,B,Z,9,29
2963,A,Z,34,812
2964,A,X,74,260
2965,A,Z,40,449
2966,B,X,37,13
2967,C,X,83,596
2968,A,X,1,63
2969,B,X,17,639
2970,A,Y,72,568
2971,B,Y,51,704
2972,C,Z,56,443
2973,A,Y,50,341
2974,A,Y,51,522
2975,A,X,83,937
2976,C,X,5,818
2977,B,X,26,196
2978,A,Z,11,608
2979,A,Y,97,270
2980,C,Z,46,109
2981,B,Z,86,344
2982,C,X,99,275
2983,C,Z,53,256
2984,A,X,15,573
2985,B,Y,31,328
2986,A,Z,75,685
2987,A,Z,72,433
2988,C,Y,81,812
2989,C,Z,28,983
2990,A,Y,53,490
2991,C,X,33,696
2992,C,X,40,684
2993,B,Y,57,53
2994,A,Z,24,182
2995,A,Y,62,407
2996,B,Z,71,323
2997,C,X,13,567
2998,B,Z,5,966
2999,B,Z,19,592
3000,B,Z,79,904
3001,C,Y,21,890
3002,B,Z,57,226
3003,A,X,36,987
3004,C,X,71,919
3005,B,Z,30,675
3006,B,Z,11,221
3007,B,X,91,261
3008,B,Y,3,440
3009,B,X,87,74
3010,B,X,18,81
3011,A,X,47,957
3012,C,X,98,283
3013,A,X,29,806
3014,B,Y,51,895
3015,B,X,67,46
3016,B,Y,42,891
3017,A,Y,73,487
3018,B,Y,19,325
3019,A,Y,13,396
3020,C,X,82,702
3021,A,X,54,403
3022,A,Y,29,993
3023,C,Z,19,216
3024,B,X,80,401
3025,A,Z,61,128
3026,C,Y,1,142
3027,A,Y,45,260
3028,A,X,5,241
3029,C,Z,78,397
3030,A,X,47,124
3031,C,X,76,946
3032,A,X,28,840
3033,B,Z,60,861
3034,C,Y,8,283
3035,B,Y,54,621
3036,A,Z,25,92
3037,B,X,12,393
3038,C,Y,27,870
3039,A,Z,64,158
3040,C,Y,16,614
3041,A,X,77,230
3042,B,Z,79,442
3043,B,Y,71,700
3044,C,Y,19,49
3045,C,Y,16,144
3046,A,X,47,738
3047,C,Y,85,519
3048,C,Y,82,200
3049,B,Z,73,456
3050,C,X,93,165
3051,C,Z,15,149
3052,A,Z,34,425
3053,B,Z,54,177
3054,B,X,96,236
3055,A,Y,12,85
3056,B,X,54,418
3057,A,Y,10,676
3058,A,Z,33,215
3059,C,X,86,571
3060,C,Z,11,910
3061,A,X,98,943
3062,C,Y,10,452
3063,C,Y,29,371
3064,B,Y,3,843
3065,B,Z,14,33
3066,C,Z,12,897
3067,A,Z,79,265
3068,A,X,90,63
3069,C,Z,1,420
3070,C,Z,89,707
3071,A,Z,72,11
3072,B,Y,19,177
3073,B,Z,52,288
3074,A,X,2,942
3075,C,Y,64,980
3076,B,X,5,447
3077,A,Y,39,502
3078,C,Y,38,340
3079,C,Z,83,868
3080,B,Y,57,647
3081,C,Z,10,441
3082,A,Y,82,468
3083,A,X,85,316
3084,A,X,14,231
3085,A,Y,48,503
3086,C,Z,27,957
3087,A,Y,58,850
3088,B,Y,68,319
3089,C,Z,18,283
3090,C,Y,33,251
3091,C,X,15,771
3092,A,Z,76,876
3093,C,X,42,345
3094,A,Y,27,474
3095,A,Z,57,809
3096,C,Y,84,500
3097,C,Y,4,114
3098,A,Z,19,341
3099,C,X,47,971
3100,C,X,33,692
3101,A,X,57,915
3102,A,X,19,190
3103,C,Y,67,742
3104,A,Y,57,840
3105,A,Z,96,237
3106,B,X,69,517
3107,C,Y,69,162
3108,C,Y,7,904
3109,C,Z,71,554
3110,C,X,2,771
3111,C,Y,78,447
3112,A,Y,3,939
3113,C,X,54,761
3114,C,Z,81,925
3115,B,Y,80,538
3116,A,Y,15,57
3117,C,Z,8,26
3118,C,X,76,983
3119,C,Z,83,434
3120,C,Z,36,182
3121,A,X,4,222
3122,B,Y,1,959
3123,B,X,46,219
3124,C,Y,53,959
3125,B,X,20,830
3126,B,X,83,372
3127,B,X,11,830
3128,B,Z,46,639
3129,B,Y,98,121
3130,A,Z,88,601
3131,A,X,25,124
3132,A,Z,87,276
3133,B,X,78,737
3134,A,X,96,810
3135,B,Z,12,881
3136,B,Y,6,536
3137,A,X,54,54
3138,C,X,35,525
3139,B,X,76,737
3140,B,X,34,79
3141,A,Z,7,938
3142,B,X,25,306
3143,B,Y,65,541
3144,B,Z,6,953
3145,A,Z,48,552
3146,C,X,99,474
3147,C,Y,32,74
3148,A,Y,92,461
3149,B,Z,15,754
3150,C,Z,9,270
3151,A,Z,20,806
3152,A,Z,88,476
3153,B,Z,5,841
3154,B,Y,25,554
3155,A,X,13,575
3156,A,Z,74,809
3157,A,Y,78,546
3158,C,Y,20,766
3159,B,Y,38,1
3160,A,Y,88,16
3161,B,Z,14,295
3162,C,Z,19,420
3163,A,Z,64,276
3164,B,Z,78,485
3165,C,Z,59,807
3166,A,Y,15,866
3167,B,Y,43,104
3168,A,Z,16,462
3169,B,Z,2,549
3170,B,X,55,620
3171,C,Z,78,321
3172,C,X,48,169
3173,C,X,52,395
3174,C,Z,36,296
3175,C,X,57,233
3176,B,Y,66,275
3177,C,Y,15,367
3178,B,X,8,941
3179,B,X,13,423
3180,A,Z,31,4
3181,B,Y,32,740
3182,B,Y,17,998
3183,C,X,70,254
3184,B,X,42,755
3185,C,Z,6,768
3186,B,Y,25,335
3187,B,X,33,979
3188,C,Y,12,594
3189,A,Z,53,246
3190,B,Z,38,134
3191,B,Y,93,74
3192,C,Y,35,820
3193,C,Y,30,592
3194,A,Y,72,459
3195,A,X,61,935
3196,A,Y,96,885
3197,B,Z,36,159
3198,B,Z,45,646
3199,C,X,71,204
3200,C,Y,3,279
3201,C,X,13,490
3202,A,Y,20,893
3203,A,Z,97,600
3204,A,Y,84,922
3205,B,Z,73,790
3206,B,X,56,72
3207,C,X,17,946
3208,A,Y,99,530
3209,B,X,82,863
3210,A,Z,58,715
3211,B,X,99,898
3212,A,X,73,330
3213,B,Z,38,368
3214,B,Z,96,649
3215,B,X,52,902
3216,B,Y,68,971
3217,C,X,50,997
3218,A,Z,25,606
3219,B,X,74,431
3220,B,Y,94,441
3221,A,Y,7,700
3222,B,X,60,370
3223,B,X,36,289
3224,A,Y,14,226
3225,C,Y,18,512
3226,C,X,31,654
3227,B,Z,83,278
3228,C,Y,82,891
3229,C,X,25,539
3230,B,Y,44,637
3231,B,Y,21,905
3232,C,Z,80,926
3233,B,Y,83,749
3234,B,Y,6,699
3235,C,Z,86,963
3236,A,X,54,280
3237,C,Y,96,259
3238,C,Z,82,726
3239,C,Z,3,828
3240,B,Z,42,732
3241,C,X,55,538
3242,B,X,26,193
3243,A,Z,20,404
3244,C,Y,78,132
3245,A,Z,93,629
3246,C,X,82,942
3247,B,X,86,484
3248,A,X,70,963
3249,C,Z,17,708
3250,A,Z,58,230
3251,B,Y,72,450
3252,B,Y,82,244
3253,C,Y,48,586
3254,C,X,91,97
3255,A,Y,78,231
3256,B,Z,22,182
3257,B,X,7,603
3258,C,Y,7,621
3259,B,Z,59,516
3260,B,X,21,616
3261,B,X,67,320
3262,A,X,68,544
3263,A,X,65,167
3264,A,X,35,125
3265,B,Z,38,511
3266,C,Y,48,101
3267,C,Y,10,285
3268,C,Y,61,773
3269,A,Y,15,179
3270,B,Z,62,320
3271,A,Z,61,394
3272,A,Z,15,169
3273,C,Z,58,785
3274,C,Z,97,975
3275,B,Z,29,745
3276,A,Y,32,475
3277,B,Z,94,736
3278,A,Y,63,852
3279,B,Z,97,431
3280,A,Z,99,597
3281,B,Z,82,972
3282,A,Y,17,690
3283,A,Y,30,907
3284,C,Y,96,881
3285,A,Z,89,406
3286,C,Y,76,712
3287,B,Y,45,502
3288,C,X,54,941
3289,A,X,23,887
3290,C,Y,6,769
3291,C,X,54,883
3292,B,X,10,463
3293,C,Z,85,46
3294,B,X,88,204
3295,B,Z,64,561
3296,C,X,54,585
3297,A,X,68,824
3298,B,Y,40,240
3299,C,Z,63,413
3300,B,Z,22,975
3301,C,X,59,743
3302,C,X,12,600
3303,A,Y,37,308
3304,C,Z,11,707
3305,B,Z,57,439
3306,B,Z,71,934
3307,A,Y,55,700
3308,B,Y,58,828
3309,A,X,38,744
3310,C,X,72,615
3311,C,Y,9,185
3312,C,Z,97,316
3313,A,Y,18,397
3314,B,X,45,817
3315,B,Z,41,808
3316,C,Y,61,775
3317,B,X,91,781
3318,A,Z,97,423
3319,A,X,53,525
3320,A,X,7,132
3321,A,Y,22,337
3322,B,Z,74,729
3323,A,Z,11,289
3324,B,Y,40,297
3325,C,Y,52,644
3326,B,Y,51,144
3327,A,X,95,741
3328,B,X,87,912
3329,C,X,85,200
3330,C,Y,14,328
3331,C,X,9,314
3332,B,Z,43,248
3333,A,Z,77,283
3334,A,X,91,263
3335,B,Z,26,555
3336,A,Z,90,373
3337,A,X,55,511
3338,B,X,89,859
3339,C,X,52,944
3340,A,Y,91,51
3341,C,Z,14,789
3342,A,Z,40,703
3343,C,X,59,605
3344,C,X,80,211
3345,A,Y,34,384
3346,A,Y,6,800
3347,B,Z,26,141
3348,A,X,39,221
3349,A,Z,90,711
3350,B,Z,56,159
3351,C,X,66,233
3352,B,X,82,374
3353,C,Z,13,821
3354,B,Z,44,586
3355,A,Y,94,939
3356,A,Y,33,526
3357,C,X,84,367
3358,A,Z,22,98
3359,C,Y,13,242
3360,B,X,65,643
3361,A,Z,18,191
3362,C,X,6,685
3363,B,X,10,113
3364,A,Z,11,533
3365,A,Y,67,219
3366,C,X,73,926
3367,A,Z,96,356
3368,C,Z,24,728
3369,A,Y,67,718
3370,B,X,3,446
3371,A,Y,90,640
3372,C,Y,46,192
3373,C,X,30,68
3374,C,Z,40,987
3375,B,X,62,871
3376,A,Y,63,804
3377,A,Z,81,736
3378,A,Z,85,862
3379,C,Y,24,472
3380,C,Z,38,988
3381,A,X,98,976
3382,C,X,94,399
3383,A,Z,83,252
3384,A,Y,92,644
3385,C,Y,97,717
3386,A,Y,83,566
3387,C,Y,17,725
3388,A,Z,1,554
3389,C,Y,12,300
3390,C,Y,32,768
3391,C,Z,65,757
3392,A,Z,43,79
3393,A,Z,8,269
3394,B,X,85,979
3395,A,X,3,75
3396,A,Y,52,823
3397,A,X,56,904
3398,B,X,27,719
3399,B,Y,40,840
3400,A,Y,30,343
3401,A,X,83,860
3402,C,Z,42,108
3403,A,X,26,775
3404,C,X,45,492
3405,A,Z,3,242
3406,C,Y,79,471
3407,B,Z,43,111
3408,B,Y,3,282
3409,A,Z,99,630
3410,B,X,20,113
3411,B,X,44,891
3412,C,Y,10,567
3413,B,Z,77,715
3414,A,Z,2,630
3415,A,X,27,611
3416,B,Y,65,462
3417,A,Z,26,192
3418,B,X,69,206
3419,A,Y,82,926
3420,C,Z,41,8
3421,B,X,7,683
3422,A,Z,8,449
3423,C,Y,58,887
3424,B,X,45,701
3425,A,X,50,617
3426,B,X,75,819
3427,C,Y,12,735
3428,B,X,82,188
3429,C,X,24,302
3430,C,Y,31,886
3431,A,X,42,883
3432,C,Y,62,309
3433,C,Z,9,477
3434,A,Y,83,276
3435,C,Y,90,490
3436,A,X,30,595
3437,A,Z,34,808
3438,C,Y,68,148
3439,B,Y,25,5
3440,C,Y,1,288
3441,B,X,46,661
3442,C,Z,74,873
3443,A,Z,73,171
3444,C,X,30,73
3445,A,Y,15,267
3446,B,Z,36,171
3447,C,X,87,813
3448,B,Y,3,633
3449,C,Z,20,896
3450,A,Y,28,150
3451,A,X,27,248
3452,C,X,22,393
3453,B,Y,64,568
3454,C,X,51,36
3455,C,Y,9,368
3456,C,X,63,352
3457,B,X,94,452
3458,C,X,82,10
3459,A,Y,75,558
3460,C,Z,41,47
3461,C,Z,14,765
3462,A,Z,18,817
3463,C,X,80,278
3464,B,Y,56,987
3465,C,X,85,586
3466,B,Y,99,552
3467,C,X,93,944
3468,C,Z,36,885
3469,C,Z,11,902
3470,B,Z,72,591
3471,A,Z,48,273
3472,C,Y,78,148
3473,C,X,57,50
3474,C,Z,3,323
3475,A,X,72,17
3476,C,X,88,566
3477,B,X,56,363
3478,A,Z,26,387
3479,B,Z,30,906
3480,B,Y,95,808
3481,A,Y,96,584
3482,A,Y,92,305
3483,C,Z,98,737
3484,A,Z,22,344
3485,B,X,66,689
3486,C,Z,2,808
3487,A,Z,12,881
3488,B,Z,76,508
3489,A,X,25,124
3490,C,Y,66,938
3491,B,Z,62,525
3492,A,Z,17,589
3493,C,Z,15,752
3494,A,Z,70,612
3495,C,Z,84,461
3496,B,Y,14,617
3497,B,Z,18,384
3498,A,Y,38,894
3499,B,Z,28,585
3500,A,Y,46,802
3501,A,X,74,798
3502,B,Z,50,49
3503,A,Y,38,289
3504,A,X,62,122
3505,B,Y,17,203
3506,C,X,50,753
3507,A,X,75,345
3508,A,Y,26,694
3509,A,X,25,478
3510,B,Y,6,193
3511,C,Y,59,197
3512,B,X,1,600
3513,B,Y,75,17
3514,B,Y,46,209
3515,C,Y,40,198
3516,B,Z,51,429
3517,B,Y,13,195
3518,B,Z,87,618
3519,C,X,23,825
3520,C,Z,58,784
3521,C,Z,65,692
3522,C,Z,99,885
3523,B,Z,6,476
3524,C,Z,2,645
3525,A,X,68,890
3526,B,Z,79,869
3527,A,Y,89,303
3528,C,X,51,734
3529,A,Z,46,339
3530,B,X,75,420
3531,B,X,93,94
3532,B,Z,85,376
3533,A,Y,62,870
3534,B,X,52,474
3535,B,X,17,17
3536,A,Y,27,488
3537,C,Y,6,715
3538,B,Y,30,536
3539,C,Y,85,452
3540,C,Y,40,645
3541,B,Y,81,558
3542,A,X,53,136
3543,C,Y,21,312
3544,A,Y,58,219
3545,B,Y,75,897
3546,B,X,56,724
3547,B,X,21,157
3548,B,Z,76,96
3549,B,Y,13,755
3550,B,Y,86,955
3551,A,X,18,71
3552,B,X,62,872
3553,C,X,66,486
3554,C,Z,80,1
3555,B,Z,81,96
3556,A,X,29,150
3557,B,Z,99,689
3558,B,Y,92,208
3559,B,Z,43,576
3560,B,Z,89,108
3561,A,Z,84,271
3562,C,Z,79,150
3563,C,X,69,509
3564,C,X,55,574
3565,C,Y,47,111
3566,C,Z,68,600
3567,C,X,87,856
3568,A,Z,81,370
3569,B,X,79,448
3570,A,X,68,652
3571,A,Z,48,40
3572,A,X,82,133
3573,A,Y,87,929
3574,A,Y,38,877
3575,A,Y,79,188
3576,B,Y,42,115
3577,A,Y,88,495
3578,A,Z,98,450
3579,C,Y,5,576
3580,C,Z,4,922
3581,B,Z,43,811
3582,A,X,35,84
3583,C,Y,93,848
3584,A,X,56,394
3585,C,Z,13,233
3586,C,X,77,79
3587,C,Y,71,459
3588,C,X,94,277
3589,A,Z,73,458
3590,B,Z,26,646
3591,C,Z,26,468
3592,C,X,23,521
3593,B,Y,6,528
3594,A,X,52,699
3595,C,Z,9,80
3596,B,X,87,981
3597,A,Y,61,139
3598,A,Z,11,295
3599,A,Y,24,107
3600,A,Y,86,587
3601,A,X,56,192
3602,C,Z,44,360
3603,C,Y,23,140
3604,A,Z,45,118
3605,B,Z,9,932
3606,A,X,82,803
3607,C,X,28,754
3608,B,X,84,208
3609,C,Z,90,684
3610,C,Z,50,866
3611,B,Z,60,266
3612,A,X,85,851
3613,A,Z,12,352
3614,C,X,97,767
3615,B,Z,2,546
3616,B,Y,79,50
3617,C,X,2,499
3618,B,Y,52,159
3619,C,X,42,455
3620,B,Y,51,576
3621,A,X,26,270
3622,C,Z,97,511
3623,B,X,87,649
3624,B,X,81,456
3625,B,Z,20,803
3626,C,Y,66,281
3627,B,X,13,4
3628,B,Y,4,662
3629,B,X,54,942
3630,C,X,27,132
3631,C,Y,11,249
3632,A,Y,49,730
3633,C,Y,52,172
3634,C,Y,74,568
3635,C,Z,79,228
3636,A,X,97,424
3637,A,Y,81,359
3638,B,Y,8,194
3639,C,Z,45,787
3640,B,Z,50,103
3641,B,Z,43,216
3642,B,X,28,498
3643,C,Y,34,609
3644,C,Y,94,396
3645,A,Z,20,674
3646,A,X,33,478
3647,B,Z,14,860
3648,B,Y,31,373
3649,C,X,73,420
3650,A,X,59,980
3651,B,Y,8,612
3652,B,Z,67,846
3653,A,Z,48,159
3654,C,Y,92,184
3655,B,X,24,716
3656,C,X,89,270
3657,B,X,56,373
3658,C,X,31,598
3659,B,X,29,810
3660,B,X,69,516
3661,B,Y,37,799
3662,C,Z,40,411
3663,A,X,93,435
3664,C,Z,41,676
3665,C,Z,51,564
3666,C,Z,59,711
3667,B,Y,92,322
3668,B,X,43,893
3669,C,X,51,801
3670,C,Z,56,595
3671,B,X,26,765
3672,A,X,67,162
3673,B,Z,90,338
